timestamp,funding_rate
1772611200005,0.00005
1772625600008,-0.00205747
1772640000000,-0.00399112
1772654400000,-0.00396253
1772668800000,-0.00371342
1772683200000,-0.0029855
1772697600000,-0.00289398
1772712000000,-0.00448283
1772726400004,-0.00307274
1772740800000,-0.00224495
1772755200001,-0.00126071
1772769600003,-0.00320963
1772784000001,-0.00340043
1772798400005,-0.00263285
1772812800004,-0.00282267
1772827200010,-0.00332084
1772841600001,-0.00158313
1772856000006,-0.00238734
1772870400012,-0.00292552
1772884800000,-0.00237545
1772899200001,-0.00269525
1772913600000,-0.00265398
1772928000001,-0.00325397
1772942400010,-0.00623225
1772956800000,-0.00397678
1772971200002,-0.00142991
1772985600002,-0.00112968
1773000000000,-0.00123874
1773014400000,-0.001842
1773028800006,-0.00192855
1773043200004,-0.00135969
1773057600001,-0.0020123
1773072000003,-0.0020716
1773086400000,-0.00093173
1773100800012,-0.00133867
1773115200000,-0.00178033
1773129600002,-0.00091854
1773144000004,-0.00179795
1773158400001,-0.00179942
1773172800004,-0.00209085
1773187200000,-0.00171116
1773201600000,-0.00156173
1773216000007,-0.00175616
1773230400003,-0.00192349
1773244800010,-0.00209338
1773259200004,-0.00203385
1773273600000,-0.00251474
1773288000001,-0.00389175
1773302400000,-0.00362706
1773316800006,-0.00406998
1773331200000,-0.00417303
1773345600006,-0.00149785
1773360000006,-0.00043373
1773374400005,-0.00026867
1773388800001,-0.0007383
1773403200003,-0.00080112
1773417600000,-0.00155677
1773432000000,-0.00153942
1773446400001,-0.0026883
1773460800002,-0.00217025
1773475200000,-0.00070369
1773489600000,-0.00032443
1773504000007,-0.00072422
1773518400000,-0.00083485
1773532800000,-0.0009021
1773547200000,-0.0004086
1773561600000,-0.00048883
1773576000002,-0.00108593
1773590400000,-0.00185393
1773604800000,-0.00112262
1773619200000,-0.0019825
1773633600006,-0.00223573
1773648000010,-0.00082796
1773662400002,-0.00145651
1773676800000,-0.00109758
1773691200001,-0.00029426
1773705600000,-0.00010351
1773720000008,-0.00068583
1773734400002,-0.00165383
1773748800012,-0.0019049
1773763200011,-0.00161154
1773777600000,-0.00116167
1773792000002,-0.00102964
1773806400000,-0.00210207
1773820800002,-0.00018733
1773835200001,-0.0010216
1773849600005,-0.00132373
1773864000008,-0.00083348
1773878400000,-0.00140732
1773892800000,-0.00371161
1773907200003,-0.00005615
1773921600002,0.00002488
1773936000003,-0.00015028
1773950400000,-0.00005663
1773964800002,-0.00019466
1773979200008,5.97e-6
1773993600000,-0.00001158
1774008000000,-0.00005691
1774022400000,-0.00008932
1774036800007,-0.00012816
1774051200000,-0.0000356
1774065600002,-0.00005334
1774080000000,-0.00014082
1774094400003,-0.00005422
1774108800014,-0.00012152
1774123200000,-0.00003971
1774137600012,-0.00033367
1774152000003,-0.00019106
1774166400007,-0.00028351
1774180800000,-0.00070514
1774195200002,-0.00114184
1774209600000,-0.00153056
1774224000000,-0.00157254
1774238400000,-0.00262197
1774252800003,-0.00140259
1774267200000,-0.00053979
1774281600002,-0.00048215
1774296000000,-0.00048945
1774310400000,-0.00116275
1774324800001,-0.00484585
1774339200000,-0.00210663
1774353600000,-0.00055448
1774368000003,-0.00004721
1774382400000,-4.36e-6
1774396800000,-0.00005561
1774411200000,0.00001337
1774425600000,0.00005
1774440000005,0.00005
1774454400013,-0.00200453
1774468800001,-0.00007506
1774483200001,-0.00010589
1774497600002,0.00005
1774512000001,-0.00002553
1774526400000,-0.0000107
1774540800000,-0.00003204
1774555200003,0.00004199
1774569600006,6.56e-6
1774584000001,0.00005
1774598400000,0.00005
1774612800002,-0.00007671
1774627200000,0.00003121
1774641600000,-0.00023606
1774656000005,0.00005
1774670400003,-0.00011333
1774684800005,-0.00010546
1774699200006,-0.00074647
1774713600000,-0.00084102
1774728000003,-0.00090596
1774742400003,-0.0020146
1774756800000,-0.00087412
1774771200001,-0.00013991
