timestamp,funding_rate
1772568000000,0.00005
1772582400001,0.00005
1772596800000,0.00005
1772611200005,0.00005
1772625600008,0.00001414
1772640000000,0.00005
1772654400000,-0.00013748
1772668800000,5.7e-7
1772683200000,-0.00022867
1772697600000,-0.00024707
1772712000000,-0.00048131
1772726400004,-0.00034121
1772740800000,0.00005
1772755200001,0.00005
1772769600003,0.00005
1772784000001,0.00021167
1772798400005,0.00008587
1772812800004,0.00005
1772827200010,-0.00026895
1772841600001,-0.00101551
1772856000006,-0.00083648
1772870400012,-0.00065487
1772884800000,-0.00060285
1772899200001,-0.00017312
1772913600000,-0.00054895
1772928000001,-0.00176239
1772942400010,-0.00143272
1772956800000,-0.00501517
1772971200002,-0.00874228
1772985600002,-0.00839759
1773000000000,-0.00254525
1773014400000,-0.00252088
1773028800006,-0.00157398
1773043200004,-0.00150134
1773057600001,-0.00202218
1773072000003,-0.00179461
1773086400000,-0.00059234
1773100800012,-0.00079935
1773115200000,-0.00020404
1773129600002,-0.00005318
1773144000004,0.00005
1773158400001,0.00005
1773172800004,0.00005
1773187200000,0.00009498
1773201600000,0.00005
1773216000007,0.00005
1773230400003,0.00005
1773244800010,0.00005
1773259200004,0.00012048
1773273600000,0.00035488
1773288000001,0.001037
1773302400000,0.00055896
1773316800006,0.00067288
1773331200000,0.00056368
1773345600006,0.00043576
1773360000006,0.00070642
1773374400005,0.00063479
1773388800001,0.0007887
1773403200003,0.00076408
1773417600000,0.00065385
1773432000000,0.00034718
1773446400001,0.00043927
1773460800002,0.00068088
1773475200000,0.00047124
1773489600000,0.00054464
1773504000007,0.00037773
1773518400000,0.0003393
1773532800000,0.00045854
1773547200000,0.00027038
1773561600000,0.00010072
1773576000002,0.00005
1773590400000,0.00005
1773604800000,0.00013438
1773619200000,0.000062
1773633600006,0.00005
1773648000010,0.00005
1773662400002,0.00005
1773676800000,7.77e-6
1773691200001,0.00005
1773705600000,0.00005
1773720000008,0.00005
1773734400002,0.00005
1773748800012,0.00005
1773763200011,0.00005
1773777600000,0.00005
1773792000002,0.00005
1773806400000,0.00005
1773820800002,0.00001345
1773835200001,-0.00003238
1773849600005,-0.00016906
1773864000008,-0.00002896
1773878400000,-0.00027417
1773892800000,-0.00020487
1773907200003,-0.00015872
1773921600002,-0.00032293
1773936000003,-0.00044063
1773950400000,-0.00058304
1773964800002,-0.00115338
1773979200008,-0.00094834
1773993600000,-0.00231761
1774008000000,-0.0013932
1774022400000,-0.00059641
1774036800007,-0.00023295
1774051200000,-0.00020166
1774065600002,-0.00013354
1774080000000,-0.00030335
1774094400003,3.87e-6
1774108800014,0.00005
1774123200000,0.00004801
1774137600012,0.00002717
1774152000003,0.00005
1774166400007,0.00005
1774180800000,0.00005
1774195200002,0.00005
1774209600000,0.00005
1774224000000,0.00005
1774238400000,0.00005
1774252800003,-0.00011343
1774267200000,-0.00022801
1774281600002,-0.00013714
1774296000000,-0.00044662
1774310400000,-0.00053734
1774324800001,-0.0009452
1774339200000,-0.00127806
1774353600000,-0.00235823
1774368000003,-0.00070529
1774382400000,-0.00056074
1774396800000,-0.00082552
1774411200000,-0.00163641
1774425600000,-0.00134301
1774440000005,-0.00277149
1774454400013,-0.01018169
1774468800001,-0.02
1774472400000,-0.00676489
1774476000011,-0.00526248
1774479600005,-0.00919173
1774483200001,-0.00905755
1774486800006,-0.00512589
1774490400001,-0.00537811
1774494000000,-0.00416294
1774497600002,-0.00362197
1774501200000,-0.00261694
1774504800008,-0.00250633
1774508400003,-0.0042008
1774512000001,-0.00374888
1774515600001,-0.00209681
1774519200000,-0.00172052
1774522800003,-0.00116434
1774526400000,-0.00084748
1774530000000,-0.0005456
1774533600001,-0.00043814
1774537200000,-0.00087103
1774540800000,-0.00068937
1774544400000,-0.0005566
1774548000000,-0.00023688
1774551600000,-0.00023291
1774555200003,-0.00049412
1774558800000,-0.00079111
1774562400000,-0.00056314
1774566000000,-0.00058191
1774569600006,-0.00044158
1774573200002,-0.00040498
1774576800000,-0.00049892
1774580400000,-0.00032358
1774584000001,-0.00002312
1774587600007,-0.00012211
1774591200009,-0.0001285
1774594800003,-0.00010343
1774598400000,-0.00010581
1774602000000,-0.0002328
1774605600000,-0.00052867
1774609200006,-0.0005968
1774612800002,-0.00064482
1774616400000,-0.00042544
1774620000000,-0.00065363
1774623600000,-0.00066888
1774627200000,-0.00044317
1774630800001,-0.00033012
1774634400003,-0.000137
1774638000002,-0.00003909
1774641600000,-0.00003898
1774645200000,-2.88e-6
1774648800006,-0.00002985
1774652400000,-0.00005617
1774656000005,5.63e-6
1774659600003,-0.0000336
1774663200003,-0.0001056
1774666800013,-0.00002299
1774670400003,-8.22e-6
1774674000005,-0.00003969
1774677600000,-0.00007506
1774681200008,-0.00005182
1774684800005,-0.00017339
1774688400005,-0.0001041
1774699200006,-0.00039084
1774713600000,-0.00049286
1774728000003,-0.00022795
1774742400003,-0.00088321
1774756800000,-0.0000908
1774771200001,-0.00064183
