timestamp,open,high,low,close,volume,taker_buy_vol,taker_sell_vol,num_trades
1773423000000,1.0026,1.0029,0.9952,0.997,4719068.4,1807098.7,2911969.7,15717
1773423900000,0.9969,1.0001,0.993,0.9999,4494063.7,2100682.9,2393380.8000000003,15899
1773424800000,0.9998,1.0043,0.9977,1.0033,3307343.1,1868218.0,1439125.1,12888
1773425700000,1.0034,1.0036,0.9951,1.0015,2446093.6,1162005.1,1284088.5,10265
1773426600000,1.0014,1.0047,1.0002,1.0029,1283929.3,786529.4,497399.9,7038
1773427500000,1.0028,1.0032,0.9981,0.9992,1150046.7,498493.9,651552.7999999999,5899
1773428400000,0.9991,1.0014,0.9968,0.9995,1541359.3,524390.5,1016968.8,7797
1773429300000,0.9996,1.0014,0.997,0.9994,1177301.1,571731.2,605569.9000000001,6014
1773430200000,0.9994,1.0021,0.9993,1.0002,726149.8,399062.7,327087.10000000003,4897
1773431100000,1.0003,1.0034,0.9995,1.0009,1200048.3,759063.0,440985.30000000005,5508
1773432000000,1.0009,1.002,0.9987,1.0019,1909130.8,1264957.6,644173.2,6069
1773432900000,1.0019,1.0044,1.0007,1.0019,1511013.2,781603.3,729409.8999999999,5301
1773433800000,1.0019,1.0026,1.0,1.0008,569885.5,336729.7,233155.8,3341
1773434700000,1.0007,1.0044,0.9998,1.0037,983791.3,559933.1,423858.20000000007,3988
1773435600000,1.0038,1.0086,1.0038,1.0072,1579722.1,907080.4,672641.7000000001,6649
1773436500000,1.0071,1.0076,0.9995,1.0005,1231862.4,476320.0,755542.3999999999,4627
1773437400000,1.0005,1.0017,0.9956,0.9971,1690907.5,653600.0,1037307.5,5876
1773438300000,0.997,0.9999,0.997,0.9977,585711.0,332065.7,253645.3,3536
1773439200000,0.9976,0.9985,0.9868,0.9921,4289248.2,1227598.6,3061649.6,13436
1773440100000,0.9922,0.9922,0.9877,0.9885,1541028.1,654236.7,886791.4000000001,7431
