timestamp,funding_rate
1773676800000,-0.00924837
1773691200001,-0.00316234
1773705600000,-0.00850125
1773720000008,-0.00759573
1773734400002,-0.00693549
1773748800012,-0.00144093
1773763200011,-0.0021667
1773777600000,-0.00554458
1773792000002,-0.00549369
1773806400000,-0.01028112
1773820800002,-0.0080943
1773835200001,-0.00845138
1773849600005,-0.00568986
1773864000008,-0.00160147
1773878400000,-0.00041928
1773892800000,-0.00204973
1773907200003,-0.00042165
1773921600002,-0.00418348
1773936000003,-0.00188252
1773950400000,-0.00107062
1773964800002,-0.00066672
1773979200008,-0.00557059
1773993600000,-0.00543644
1774008000000,-0.00247189
1774022400000,-0.00060329
1774036800007,-0.00101008
1774051200000,-0.00273423
1774065600002,-0.0038835
1774080000000,-0.00317599
1774094400003,-0.00248936
1774108800014,-0.00196959
1774123200000,-0.00197591
1774137600012,-0.002147
1774152000003,-0.00364541
1774166400007,-0.00320276
1774180800000,-0.00300881
1774195200002,-0.00406586
1774209600000,-0.00570002
1774224000000,-0.00700883
1774238400000,-0.00613051
1774252800003,-0.0038266
1774267200000,-0.0032791
1774281600002,-0.00338237
1774296000000,-0.00207421
1774310400000,-0.00315253
1774324800001,-0.00497208
1774339200000,-0.00396066
1774353600000,-0.00274749
1774368000003,-0.0019046
1774382400000,-0.0016826
1774396800000,-0.00126191
1774411200000,-0.00115328
1774425600000,-0.01114057
1774440000005,-0.00589173
1774454400013,-0.00447531
1774468800001,-0.00214507
1774483200001,-0.00176056
1774497600002,-0.00143854
1774512000001,-0.00196001
1774526400000,-0.00442209
1774540800000,-0.00367267
1774555200003,-0.0009634
1774569600006,-0.00106289
1774584000001,-0.00240984
1774598400000,-0.00255572
1774612800002,-0.00092678
1774627200000,-0.00056103
1774641600000,-0.000641
1774656000005,-0.00033306
1774670400003,-0.01223589
1774684800005,-0.00261734
1774699200006,-0.0007554
1774713600000,-0.00132214
1774728000003,-0.00127292
1774742400003,-0.00225666
1774756800000,-0.00681614
