timestamp,funding_rate
1773072000003,0.00005
1773086400000,0.00005
1773100800012,0.00005
1773115200000,0.00005
1773129600002,0.00005
1773144000004,0.00005
1773158400001,0.00005
1773172800004,0.00005
1773187200000,0.00005
1773201600000,0.00005
1773216000007,0.00005
1773230400003,0.00005
1773244800010,0.00005
1773259200004,0.00005
1773273600000,0.00005
1773288000001,0.00005
1773302400000,0.00005
1773316800006,0.00005
1773331200000,0.00005
1773345600006,0.00005
1773360000006,0.00005
1773374400005,0.00005
1773388800001,0.00005
1773403200003,0.00005
1773417600000,0.00005
1773432000000,0.00005
1773446400001,0.00005
1773460800002,0.00005
1773475200000,-0.00009771
1773489600000,0.00005
1773504000007,0.00005
1773518400000,-0.00769009
1773532800000,-0.00321221
1773547200000,-0.00353743
1773561600000,-0.00606256
1773576000002,-0.00416266
1773590400000,-0.00043584
1773604800000,-0.00023674
1773619200000,-0.00006888
1773633600006,-0.00011733
1773648000010,-0.00018653
1773662400002,-0.00023051
1773676800000,-0.00007837
1773691200001,0.00005
1773705600000,0.00005
1773720000008,0.00005
1773734400002,0.00003356
1773748800012,0.00005
1773763200011,0.00005
1773777600000,-0.00006757
1773792000002,-0.00006918
1773806400000,-0.00019229
1773820800002,-0.00015119
1773835200001,-0.00008954
1773849600005,-0.00030204
1773864000008,-0.00006596
1773878400000,-5.07e-6
1773892800000,0.00003835
1773907200003,0.00004622
1773921600002,-0.00031244
1773936000003,-0.00342313
1773950400000,0.00005
1773964800002,0.00005
1773979200008,-0.00009974
1773993600000,-0.00008859
1774008000000,-0.00005585
1774022400000,-0.00006302
1774036800007,-0.00050183
1774051200000,-0.00013908
1774065600002,-0.00019855
1774080000000,-0.00003941
1774094400003,-0.00005802
1774108800014,-0.00026979
1774123200000,-0.0000524
1774137600012,-0.0001781
1774152000003,-0.00016184
1774166400007,-0.00007178
1774180800000,0.00004059
1774195200002,-0.00024026
1774209600000,-0.0002941
1774224000000,-0.0002773
1774238400000,-0.00002966
1774252800003,-0.00040115
1774267200000,-0.00001818
1774281600002,0.00002595
1774296000000,0.00005
1774310400000,0.00005
1774324800001,0.00005
1774339200000,0.00005
1774353600000,-1.52e-6
1774368000003,0.00005
1774382400000,-0.02
1774386000002,-0.00180655
1774389600002,-0.00149584
1774393200000,-0.0011183
1774396800000,-0.00072164
1774400400001,-0.00023954
1774404000000,-0.00034576
1774407600010,-0.00020339
1774411200000,-0.00015283
1774414800000,-0.00067775
1774418400001,-0.0009641
1774422000000,-0.00009386
1774425600000,-0.00016607
1774429200001,-0.00038596
1774432800001,-0.00112212
1774436400010,-0.00107161
1774440000005,-0.00133821
1774443600004,-0.00026452
1774447200006,-0.0010718
1774450800000,-0.00151418
1774454400013,-0.00144597
1774458000001,-0.00079645
1774461600000,-0.00017741
1774465200000,-0.00010252
1774468800001,-0.00016735
1774472400000,-0.00008912
1774476000011,-0.00004622
1774479600005,-0.00003495
1774483200001,-0.00002413
1774486800006,-0.00009412
1774490400001,-0.00004867
1774494000000,-0.00001187
1774497600002,-0.00001069
1774501200000,-0.00011439
1774504800008,-0.0001726
1774508400003,-0.00019368
1774512000001,-0.00105595
1774515600001,-0.00068234
1774519200000,-0.00032953
1774522800003,-0.00011404
1774526400000,-0.0002515
1774530000000,-0.00015191
1774533600001,-0.00006181
1774537200000,-0.0001417
1774540800000,-0.00029869
1774544400000,-0.0004846
1774548000000,-0.00044525
1774551600000,-0.00006189
1774555200003,-0.00008324
1774558800000,-0.00007421
1774562400000,-0.00002862
1774566000000,-0.00009926
1774569600006,-0.00010922
1774573200002,-0.00012378
1774576800000,-0.00009269
1774580400000,-0.00011065
1774584000001,-0.00011552
1774587600007,-0.00212384
1774591200009,-0.00107875
1774594800003,-0.00171315
1774598400000,-0.00108001
1774602000000,-0.00093826
1774605600000,-0.00082654
1774609200006,-0.00177814
1774612800002,-0.00216452
1774616400000,-0.00227795
1774620000000,-0.00260421
1774623600000,-0.00283223
1774627200000,-0.00243698
1774630800001,-0.00110747
1774634400003,-0.00158117
1774638000002,-0.00182704
1774641600000,-0.00198756
1774645200000,-0.00178699
1774648800006,-0.00074485
1774652400000,-0.0005797
1774656000005,-0.00043731
1774659600003,-0.00172016
1774663200003,-0.00215832
1774666800013,-0.00212307
1774670400003,-0.00216633
1774674000005,-0.00220115
1774677600000,-0.00159287
1774681200008,-0.00193685
1774684800005,-0.00183813
1774688400005,-0.00123198
1774692000000,-0.00189137
1774695600000,-0.00136381
1774699200006,-0.00103178
1774702800000,-0.00079713
1774706400000,-0.00071603
1774710000000,-0.00031055
1774713600000,-0.0004313
1774717200000,-0.00041101
1774720800000,-0.00036584
1774724400000,-0.00022625
1774728000003,-0.00035053
1774731600000,-0.00043976
1774735200006,-0.00013556
1774738800014,-0.0003903
1774742400003,-0.00035698
1774746000000,-0.00032986
1774749600002,-0.00022426
1774753200000,-0.00020154
1774756800000,-0.0001095
1774760400000,-0.00010954
1774764000000,-0.00024207
1774767600014,-0.00025449
1774771200001,-0.00022614
